date,mean_wind_speed_kph,max_hourly_mean_wind_speed_kph,min_hourly_mean_wind_speed_kph,high_ten_min_mean_wind_speed_kph,wind_direction_at_max_ten_min_mean_deg,highest_gust_speed_kph
2015-08-15,11.66,18.52,5.556,24.05,220,35.15
2015-08-16,8.69,12.964,5.556,16.65,190,25.9
2015-08-17,5.55,9.26,1.852,12.95,160,16.65
2015-08-18,8.51,16.668,1.852,18.5,200,29.6
2015-08-19,15.54,18.52,11.112,22.2,280,31.45
2015-08-20,20.54,29.632,12.964,33.3,180,55.5
2015-08-21,19.06,29.632,11.112,33.3,210,51.8
2015-08-22,9.07,12.964,3.704,16.65,110,29.6
2015-08-23,13.13,18.52,7.408,20.35,280,31.45
2015-08-24,15.73,24.076,7.408,27.75,220,42.55
2015-08-25,13.13,20.372,7.408,24.05,220,38.85
2015-08-26,14.24,25.928,3.704,27.75,230,48.1
2015-08-27,16.84,25.928,9.26,29.6,250,48.1
2015-08-28,18.13,27.78,9.26,33.3,210,53.65
2015-08-29,14.43,22.224,9.26,25.9,220,38.85
2015-08-30,6.66,12.964,1.852,16.65,260,22.2
2015-08-31,9.99,22.224,1.852,27.75,10,37
2015-09-01,14.06,22.224,5.556,27.75,330,42.55
2015-09-02,12.39,18.52,7.408,22.2,330,46.25
2015-09-03,14.43,22.224,9.26,25.9,340,42.55
2015-09-04,15.91,22.224,11.112,25.9,350,44.4
2015-09-05,13.51,20.372,5.556,24.05,10,38.85
2015-09-06,7.03,11.112,3.704,12.95,30,18.5
2015-09-07,4.44,7.408,1.852,11.1,110,18.5
2015-09-08,13.69,18.52,7.408,22.2,170,35.15
2015-09-09,17.21,22.224,11.112,25.9,110,42.55
2015-09-10,17.76,22.224,12.964,29.6,140,46.25
2015-09-11,16.09,20.372,9.26,22.2,110,35.15
2015-09-12,18.87,29.632,7.408,33.3,280,49.95
2015-09-13,10.36,14.816,5.556,18.5,100,27.75
2015-09-14,10.18,14.816,5.556,27.75,350,40.7
2015-09-15,8.14,12.964,3.704,14.8,320,25.9
2015-09-16,6.48,11.112,1.852,16.65,280,24.05
2015-09-17,9.07,16.668,3.704,18.5,270,29.6
2015-09-18,8.33,12.964,1.852,14.8,300,22.2
2015-09-19,8.88,18.52,1.852,22.2,200,31.45
2015-09-20,15.17,20.372,7.408,22.2,170,37
2015-09-21,12.58,22.224,5.556,25.9,260,40.7
2015-09-22,10.18,16.668,5.556,20.35,290,29.6
2015-09-23,15.54,24.076,9.26,31.45,250,42.55
2015-09-24,16.84,27.78,7.408,31.45,250,51.8
2015-09-25,8.51,14.816,5.556,16.65,190,22.2
2015-09-26,12.39,16.668,5.556,18.5,170,29.6
2015-09-27,13.88,22.224,9.26,24.05,150,38.85
2015-09-28,13.88,22.224,7.408,25.9,150,38.85
2015-09-29,9.43,12.964,5.556,16.65,140,24.05
2015-09-30,9.81,12.964,7.408,16.65,60,22.2
2015-10-01,6.1,11.112,3.704,12.95,70,16.65
2015-10-02,5,11.112,1.852,14.8,40,22.2
2015-10-03,5.92,11.112,1.852,12.95,110,18.5
2015-10-04,13.32,22.224,7.408,25.9,110,38.85
2015-10-05,11.47,18.52,5.556,22.2,70,33.3
2015-10-06,11.66,27.78,3.704,35.15,280,51.8
2015-10-07,8.69,16.668,3.704,24.05,230,31.45
2015-10-08,10.54,20.372,5.556,24.05,190,31.45
2015-10-09,11.47,16.668,7.408,20.35,150,35.15
2015-10-10,9.25,12.964,7.408,14.8,90,22.2
2015-10-11,6.1,11.112,3.704,12.95,330,24.05
2015-10-12,9.25,14.816,3.704,20.35,10,29.6
2015-10-13,6.85,12.964,1.852,14.8,150,24.05
2015-10-14,9.81,18.52,7.408,20.35,170,31.45
2015-10-15,7.77,11.112,5.556,12.95,120,18.5
2015-10-16,7.77,11.112,5.556,14.8,50,18.5
2015-10-17,8.33,12.964,3.704,16.65,80,22.2
2015-10-18,7.22,12.964,3.704,14.8,30,18.5
2015-10-19,5.37,9.26,1.852,14.8,260,16.65
2015-10-20,14.99,27.78,5.556,31.45,210,46.25
2015-10-21,21.83,35.188,11.112,40.7,260,59.2
2015-10-22,18.13,38.892,5.556,42.55,260,64.75
2015-10-23,18.87,25.928,7.408,27.75,170,46.25
2015-10-24,15.17,25.928,5.556,31.45,270,51.8
2015-10-25,18.31,25.928,9.26,31.45,150,49.95
2015-10-26,22.94,31.484,11.112,35.15,120,55.5
2015-10-27,13.32,16.668,9.26,18.5,80,29.6
2015-10-28,18.31,24.076,11.112,25.9,130,48.1
2015-10-29,15.91,25.928,11.112,33.3,190,49.95
2015-10-30,21.09,31.484,14.816,33.3,170,57.35
2015-10-31,14.06,27.78,5.556,27.75,170,44.4
2015-11-01,8.33,12.964,5.556,16.65,170,22.2
